,ID,Market,Survey date,Customer Name,Month,Quarter,NPS,condicional
0,1000,US,01/09/2021,Krista Richards,9,3,10,Promotores
1,1001,MEX,07/11/2021,Monica King,11,4,9,Promotores
2,1002,UK,25/12/2021,Ricky Armstrong,12,4,0,Detratores
3,1003,UK,01/10/2021,Andrea Foley,10,4,10,Promotores
4,1004,UK,01/03/2021,Jerry Garcia,3,1,8,Neutros
5,1005,US,06/05/2021,Jimmy Rojas,5,2,10,Promotores
6,1006,MEX,19/08/2021,Jonathan Johnson,8,3,10,Promotores
7,1007,US,28/03/2021,Brandy Kelley,3,1,4,Detratores
8,1008,US,07/04/2021,Jay Hernandez,4,2,8,Neutros
9,1009,US,23/02/2021,Katelyn Smith,2,1,10,Promotores
10,1010,US,25/02/2021,Carla Fox,2,1,0,Detratores
11,1011,UK,03/04/2021,Vanessa Aguilar DVM,4,2,0,Detratores
12,1012,UK,04/11/2021,Dr. Sara Gonzalez MD,11,4,8,Neutros
13,1013,MEX,08/10/2021,Angela White,10,4,10,Promotores
14,1014,MEX,21/11/2021,Michael Cummings,11,4,10,Promotores
15,1015,US,29/01/2021,Megan Brooks,1,1,10,Promotores
16,1016,US,29/12/2021,Richard Zuniga,12,4,10,Promotores
17,1017,MEX,16/11/2021,Emily Hernandez,11,4,2,Detratores
18,1018,MEX,02/01/2021,Rebecca Mccormick,1,1,5,Detratores
19,1019,MEX,22/07/2021,Xavier Aguilar,7,3,10,Promotores
20,1020,US,12/09/2021,Scott Williams,9,3,8,Neutros
21,1021,MEX,13/12/2021,Thomas Boyle,12,4,1,Detratores
22,1022,US,09/02/2021,Jane Cox,2,1,5,Detratores
23,1023,UK,13/03/2021,Rebecca Kelley,3,1,10,Promotores
24,1024,UK,11/03/2021,Philip Rojas,3,1,9,Promotores
25,1025,UK,02/11/2021,Bethany Anderson,11,4,3,Detratores
26,1026,US,07/10/2021,Bonnie Moore,10,4,10,Promotores
27,1027,US,21/02/2021,Courtney Dunn,2,1,10,Promotores
28,1028,UK,24/03/2021,Patricia Allison,3,1,10,Promotores
29,1029,MEX,27/03/2021,Matthew Patterson,3,1,10,Promotores
30,1030,US,25/04/2021,Karen Moran,4,2,9,Promotores
31,1031,MEX,16/10/2021,Richard Lee,10,4,10,Promotores
32,1032,US,13/06/2021,Joann Wheeler DDS,6,2,10,Promotores
33,1033,MEX,11/05/2021,Linda Valencia,5,2,7,Neutros
34,1034,UK,01/03/2021,Timothy Foster,3,1,10,Promotores
35,1035,UK,30/03/2021,Kevin Cisneros,3,1,10,Promotores
36,1036,US,25/09/2021,Steven Elliott,9,3,2,Detratores
37,1037,UK,13/08/2021,Lisa Martinez,8,3,9,Promotores
38,1038,US,01/07/2021,Timothy Thomas,7,3,10,Promotores
39,1039,US,28/04/2021,Daniel Adams,4,2,10,Promotores
40,1040,MEX,14/03/2021,Stephanie Walker,3,1,1,Detratores
41,1041,UK,02/04/2021,Robert Richards,4,2,8,Neutros
42,1042,UK,10/04/2021,Amy Reeves,4,2,2,Detratores
43,1043,UK,24/03/2021,John Key,3,1,10,Promotores
44,1044,US,11/02/2021,Samuel Ayala,2,1,10,Promotores
45,1045,US,14/04/2021,Tanya Johnson,4,2,7,Neutros
46,1046,US,04/06/2021,Rachel Simpson,6,2,10,Promotores
47,1047,MEX,14/03/2021,Debbie Gould,3,1,4,Detratores
48,1048,MEX,25/08/2021,David Mueller,8,3,6,Detratores
49,1049,MEX,22/06/2021,William Hernandez,6,2,1,Detratores
50,1050,UK,14/10/2021,Nicholas Cox,10,4,0,Detratores
51,1051,MEX,05/07/2021,Tim Patterson,7,3,10,Promotores
52,1052,US,14/09/2021,Ashley Gentry,9,3,0,Detratores
53,1053,MEX,23/12/2021,Tammy Mason,12,4,5,Detratores
54,1054,UK,02/12/2021,Desiree Flores,12,4,8,Neutros
55,1055,MEX,26/02/2021,Daniel Kelly,2,1,0,Detratores
56,1056,US,15/03/2021,Brian Wright,3,1,8,Neutros
57,1057,US,24/02/2021,Louis Lopez,2,1,10,Promotores
58,1058,MEX,27/10/2021,Jessica Adams,10,4,2,Detratores
59,1059,MEX,13/02/2021,Robert Crawford,2,1,5,Detratores
60,1060,US,06/08/2021,Christine Young,8,3,9,Promotores
61,1061,UK,13/08/2021,Teresa Evans,8,3,5,Detratores
62,1062,US,24/01/2021,Carla Bullock,1,1,7,Neutros
63,1063,UK,03/02/2021,Bryan Smith,2,1,9,Promotores
64,1064,MEX,10/04/2021,Jorge Foster,4,2,1,Detratores
65,1065,UK,06/04/2021,Bruce Bruce,4,2,5,Detratores
66,1066,MEX,16/07/2021,Jennifer Garcia,7,3,4,Detratores
67,1067,UK,15/03/2021,Jamie Patton,3,1,8,Neutros
68,1068,US,24/09/2021,Sandra Kelley,9,3,0,Detratores
69,1069,MEX,07/03/2021,Scott Collins,3,1,9,Promotores
70,1070,MEX,12/12/2021,Laura Fuller,12,4,8,Neutros
71,1071,UK,22/06/2021,Jeremy Coleman,6,2,8,Neutros
72,1072,MEX,27/11/2021,Brian Stanton,11,4,7,Neutros
73,1073,UK,25/12/2021,Brandi Smith,12,4,8,Neutros
74,1074,US,01/07/2021,Brandy Cruz,7,3,2,Detratores
75,1075,MEX,13/07/2021,Brittney Barry,7,3,9,Promotores
76,1076,UK,23/05/2021,Margaret Ryan,5,2,1,Detratores
77,1077,US,09/05/2021,Rachel Kramer,5,2,10,Promotores
78,1078,US,11/03/2021,Anthony Salazar,3,1,10,Promotores
79,1079,UK,22/04/2021,Patrick Carey,4,2,8,Neutros
80,1080,US,16/01/2021,Corey Strong,1,1,10,Promotores
81,1081,MEX,28/03/2021,Lori Moore,3,1,8,Neutros
82,1082,MEX,01/01/2021,Roger Reid,1,1,10,Promotores
83,1083,UK,24/06/2021,Amanda Reed,6,2,10,Promotores
84,1084,MEX,14/11/2021,Nicole Gallagher,11,4,3,Detratores
85,1085,US,28/09/2021,Christina Ellis,9,3,10,Promotores
86,1086,MEX,15/05/2021,Kaitlin Soto,5,2,7,Neutros
87,1087,MEX,24/12/2021,Jonathan Anderson,12,4,9,Promotores
88,1088,US,02/10/2021,Wayne Hicks,10,4,0,Detratores
89,1089,US,03/05/2021,Anna Turner,5,2,6,Detratores
90,1090,UK,12/12/2021,Kimberly Nichols,12,4,9,Promotores
91,1091,UK,01/10/2021,Kyle Simpson,10,4,10,Promotores
92,1092,US,15/06/2021,Dustin Silva,6,2,0,Detratores
93,1093,US,15/12/2021,Chris Lawrence,12,4,5,Detratores
94,1094,UK,03/06/2021,Cassandra Martin MD,6,2,8,Neutros
95,1095,UK,11/07/2021,Douglas Baxter,7,3,7,Neutros
96,1096,UK,31/03/2021,John Blackburn,3,1,5,Detratores
97,1097,UK,15/04/2021,Matthew Schwartz,4,2,9,Promotores
98,1098,UK,22/03/2021,Daniel Miller,3,1,5,Detratores
99,1099,UK,08/05/2021,Robyn Smith,5,2,5,Detratores
100,1100,US,18/11/2021,James Cooper,11,4,5,Detratores
101,1101,MEX,28/08/2021,Sonya Harding,8,3,10,Promotores
102,1102,MEX,17/07/2021,David Barber,7,3,10,Promotores
103,1103,UK,13/05/2021,John Butler,5,2,6,Detratores
